shipment_id,date_arrivee_port,terminal,type_marchandise,volume_evp,volume_journalier_terminal,compagnie_transport,destination_finale,distance_corridor_km,jour_semaine,saison,statut_douane,temps_sejour_port_heures,temps_retour_conteneur_vide_heures,retard_corridor,cout_detention_estime_fcfa
CRI-00001,2024-01-01,Môle 3,Import général,2,440,Transporteur F,Dakar (local),19.8,Lundi,sèche,dédouané avant arrivée,97.3,49.5,False,935016
CRI-00002,2024-01-01,Môle 3,Équipements industriels,1,410,Transporteur E,Kaolack,188.3,Lundi,sèche,dédouanement en cours,40.7,60.8,False,196297
CRI-00003,2024-01-01,Terminal à Conteneurs,Biens de consommation,1,331,Transporteur B,Thiès,66.6,Lundi,sèche,dédouanement en cours,123.4,58.2,False,745887
CRI-00004,2024-01-01,Môle 1,Hydrocarbures,4,396,Transporteur indépendant,Touba,189.3,Lundi,sèche,bloqué (litige/documents),221.8,80.0,False,5548627
CRI-00005,2024-01-01,Terminal à Conteneurs,Import général,1,370,Transporteur B,Kaédi (Mauritanie),479.0,Lundi,sèche,bloqué (litige/documents),220.2,35.2,True,1031050
CRI-00006,2024-01-01,Terminal Roulier,Biens de consommation,2,375,Transporteur B,Kayes (Mali),942.4,Lundi,sèche,dédouané avant arrivée,31.4,42.6,True,25258
CRI-00007,2024-01-01,Môle 8,Import général,1,371,Transporteur G,Touba,196.0,Lundi,sèche,bloqué (litige/documents),100.2,29.6,False,272078
CRI-00008,2024-01-01,Terminal à Conteneurs,Import général,4,383,Transporteur indépendant,Dakar (local),19.5,Lundi,sèche,dédouanement en cours,76.0,30.4,False,943356
CRI-00009,2024-01-01,Terminal à Conteneurs,Hydrocarbures,2,397,Transporteur B,Touba,189.3,Lundi,sèche,dédouanement en cours,85.0,58.0,False,799901
CRI-00010,2024-01-01,Terminal à Conteneurs,Matériaux de construction,1,437,Transporteur B,Bamako (Mali),1178.3,Lundi,sèche,dédouané avant arrivée,59.2,48.8,True,237565
CRI-00011,2024-01-01,Môle 8,Denrées alimentaires,1,399,Transporteur A,Dakar (local),21.2,Lundi,sèche,dédouanement en cours,85.4,63.8,False,347716
CRI-00012,2024-01-02,Terminal à Conteneurs,Import général,1,310,Transporteur A,Kaolack,191.3,Mardi,sèche,dédouané avant arrivée,44.9,25.9,False,0
CRI-00013,2024-01-02,Môle 3,Import général,1,449,Transporteur C,Dakar (local),19.3,Mardi,sèche,dédouanement en cours,149.8,38.8,False,630803
CRI-00014,2024-01-02,Môle 1,Équipements industriels,1,387,Transporteur indépendant,Touba,185.4,Mardi,sèche,dédouané avant arrivée,85.8,62.1,False,378811
CRI-00015,2024-01-02,Môle 1,Hydrocarbures,2,383,Transporteur E,Kaolack,193.9,Mardi,sèche,dédouané avant arrivée,71.2,54.7,False,736290
CRI-00016,2024-01-02,Terminal à Conteneurs,Import général,1,359,Transporteur A,Dakar (local),20.8,Mardi,sèche,dédouanement en cours,87.6,42.1,False,261675
CRI-00017,2024-01-02,Terminal à Conteneurs,Import général,2,403,Transporteur B,Bamako (Mali),1285.0,Mardi,sèche,dédouanement en cours,61.3,47.9,False,355352
CRI-00018,2024-01-02,Terminal à Conteneurs,Import général,1,378,Transporteur B,Ziguinchor,457.5,Mardi,sèche,dédouané avant arrivée,49.5,34.5,False,57097
CRI-00019,2024-01-03,Terminal à Conteneurs,Biens de consommation,3,383,Transporteur E,Touba,180.0,Mercredi,sèche,dédouané avant arrivée,72.6,33.4,False,604694
CRI-00020,2024-01-03,Terminal à Conteneurs,Hydrocarbures,1,368,Transporteur E,Touba,182.2,Mercredi,sèche,dédouané avant arrivée,45.8,29.9,False,21925
CRI-00021,2024-01-03,Môle 3,Hydrocarbures,2,331,Transporteur B,Touba,188.3,Mercredi,sèche,dédouané avant arrivée,48.9,46.5,False,286025
CRI-00022,2024-01-03,Môle 1,Import général,1,337,Transporteur C,Kaolack,182.5,Mercredi,sèche,dédouanement en cours,130.9,66.5,False,714684
CRI-00023,2024-01-03,Terminal Roulier,Import général,1,350,Transporteur C,Ziguinchor,432.5,Mercredi,sèche,dédouané avant arrivée,49.4,29.7,False,42059
CRI-00024,2024-01-03,Terminal à Conteneurs,Import général,2,384,Transporteur A,Dakar (local),19.5,Mercredi,sèche,dédouané avant arrivée,65.6,53.5,False,624300
CRI-00025,2024-01-03,Môle 8,Denrées alimentaires,1,347,Transporteur F,Ziguinchor,445.0,Mercredi,sèche,dédouané avant arrivée,87.8,38.8,False,316410
CRI-00026,2024-01-03,Môle 8,Import général,1,405,Transporteur A,Tambacounda,465.6,Mercredi,sèche,dédouanement en cours,109.8,47.4,False,391564
CRI-00027,2024-01-03,Môle 1,Denrées alimentaires,2,379,Transporteur B,Touba,194.4,Mercredi,sèche,dédouané avant arrivée,48.1,28.6,False,59106
CRI-00028,2024-01-03,Terminal à Conteneurs,Denrées alimentaires,3,331,Transporteur F,Dakar (local),20.4,Mercredi,sèche,dédouané avant arrivée,53.2,44.0,False,521134
CRI-00029,2024-01-03,Terminal Roulier,Équipements industriels,2,380,Transporteur indépendant,Dakar (local),19.4,Mercredi,sèche,bloqué (litige/documents),142.7,49.6,False,1099880
